seal_id,hypothesis,tamil_reading,language,confidence,source
1456,VPS2024,மீ மீ ை வய(து) மூ(த்த) ச ண= சிறந்த மூத்த சாணம்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1466,VPS2024,மீ மீ கோயில் ஏழு ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1533,VPS2024,சா ண(ம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1534,VPS2024,மூப மூப்ப ைா ை ன் தொழுவம்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1551,VPS2024,மீ மீ இரு ை ன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1561,VPS2024,கோயில் மலை ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1628,VPS2024,பக்கம் 1- ை வ்வ இரு ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1628,VPS2024,பக்கம் 2- ை ம ச ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1707,VPS2024,கோயில் இட ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1708,VPS2024,கோயில் இட ண்ண ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1771,VPS2024,வன ை ைார் ஆ 85 | Page Indus-Harappan Script Research keys Research Keys,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1801,VPS2024,வண்ண ை ைார் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2014,VPS2024,ஆ தொழு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2015,VPS2024,வ்யமூன் = பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2142,VPS2024,இை(ம்) சா ண(ம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2056,VPS2024,தவ தவ ண ட ன ய்யா,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2057,VPS2024,மீ மீ ஓர் கண் ஆ (ஆ வநடில் குறி),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2059,VPS2024,மீ மீ சா ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2060,VPS2024,மீ மீ சா ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2061,VPS2024,ஆமு கண் ண(ல்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2068,VPS2024,த மீ தமி ழ ட்டள் ஆ க்= ஒப்பற்ற தமிழத்தள் ஆக்கள்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2069,VPS2024,தவதவ தவவண்தவ ஓணாள் ஆ தப (ஆதவன் வணக்கம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2081,VPS2024,மீ மீ வய ைா ை ன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2082,VPS2024,சிவ மூ ஆகாவ்வ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2086,VPS2024,ம யன் அய் வன ம ஆ தொழு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2096,VPS2024,தண்ன அவ் வர ண்ண வ்வ ய்யா ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2097,VPS2024,கோயில் இட மூ ட ஆ (இட- 6-அன் உருபு; டகர தகர மயக்கம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2104,VPS2024,வய ைா ைர் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2113,VPS2024,அய் ஆகாவ்வ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2123,VPS2024,வ்ய ை ைா வ்யமுன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2127,VPS2024,எண் ய் = எண்ணய் (எள் வநய்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2142,VPS2024,இை சா ண(ம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2163,VPS2024,(மீ) (இை) சா ண பன்னிரு ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2167,VPS2024,மூய தொழு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2169,VPS2024,அ ம ஆர் ட ன ன் தொழு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2183,VPS2024,ம ணா ை ன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2186,VPS2024,இை ைா பன்னிரு காவ்வ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2200,VPS2024,(இ)ன் ன் ஆ (சுகமரியர் வதய்வம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2201,VPS2024,ண ய்ய ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2234,VPS2024,வ்ய்ய இைம்(இல்ைம்?),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2251,VPS2024,மீ மீ வ்யமூன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2290,VPS2024,மீ மீ கோயில் மைய் ட ன ய்யா ஆ சிறந்த கோயில் மைய் நடனய்யா (ஆகாரம் துலணக்குறியானது),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2315,VPS2024,"ை னி ஆ 86 | Page © Ponmuthu Shanmugham Reading Indus-Harappan Script 87 | Page Indus-Harappan Script Research keys Research Keys 88 | Page © Ponmuthu Shanmugham Reading Indus-Harappan Script 89 | Page Indus-Harappan Script Research keys அ இ வ வ் ச வ ம ை ா ை ப ண் ண ா ட ஆ ண (ய் ) ப ண் ண ய் ய் ய ா ஆ ண (ய் ) வ ரி 1 - ை ா ப ண் ண ா ஆ ண (ய் ) அ ந ா (மூ ? ) [s c rib e e rro r? ] ஆ க ா வ் வ மூ (இ )ை ஞ ா ன் ஆ வ ரி 1 - அ ய் ய அ ய் ஓ வ் ய மூ ன் = ப ா ல் . வ ரி 2 - அ ம் மூ = கு ழ ந் ல ர த் க த ல வ க் கு - கு ழ ந் ல த க ள் உ த வ த வ மூ ட ஆ வ த ா ழு வ ரி 1 - இ ட இ ட ம ஆ ண (ய் ) வ ரி 2 - அ ம் மூ ிட த் த ஆ ல ண - கு ழ ந் ல த க ள் உ ர ஆ ண வ் வ அ ய் ை ா ர் ஆ ண (ய் ) வ ரி 1 - ண் ண ை ய் ய ா ஆ ண (ய் ) (ை க ர -ை க ர ம ய க் க ம் ) ஓ ட ண் ண ா ஆ ஆ க ா வ் வ மூ ஆ க ா வ் வ அ ய் ண ந ய் = ண ண் ந ய் = வ வ ண் ண ய் ய் ந = வ ந ய் மூ ை ஆ க ா வ் வ (ை க ர -த க ர ம ய க் க க க ா ழ ி (ஊ ர் ) ஆ ண (ய் ) த வ க ம ய "" ந ய் = ச ிற ந் த ம ண மு க ம க ம வ ய ய் "" ந ய் = க ம க ம வ ா ய ஐ ய ய் த உ ண வு ண வு ம் ) ல ட ய வ ந ய் க ய ா ண வு வ ந ய் Research Keys About the author Ponmuthu Shanmugham Born in a small agricultural village in the outskirts of the city of Coimbatore, Tamil Nadu (India), finished high school in the medium of Tamil Language before getting undergraduate education in Engineering. Moved to U.S.A for graduate works in Industrial Engineering and Business Admininstration. Thirty-plus year career included research in Printing, Communication, manufacturing industries and computer 90 | Page © Ponmuthu Shanmugham",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
