seal_id,tamil_reading,hypothesis,confidence,source
2068,மீ மி ழ ட்ைள் ஆ க்=,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2069,வ வ வவண் வ ஓணொள் ஆ ப,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2081,மீ மீ வய ைொ ள ன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2082,சிவ மூ ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2086,ம யன் அய் வன ம ஆ த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2096,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2097,க ொயில் இை மூ ை ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2104,வய ைொ ளர் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2113,அய் ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2123,வ்ய ை ைொ வ்யமுன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2127,எண் ய் = எண்ணய் (எள் தெய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2142,இள(ம்) சொ ண(ம்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2142,இள சொ ண(ம்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2163,(மீ) (இள) சொ ண பன்னிரு ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2167,மூய த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2169,அ ம ஆர் ை ன ன் த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2183,ம ணொ ள ன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2186,இள ைொ பன்னிரு ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2200,(இ)ன் ன் ஆ (சுகமரியர் த ய்வம்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2201,ண ய்ய ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2234,வ்ய்ய இளம்(இல்ைம்?),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2251,மீ மீ வ்யமூன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2290,மீ மீ க ொயில் மைய் ை ன ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2315,ை னி ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2322,ஆ ொவ்வ ெ(ெொன்கு) ய் = ஆ ொவ்வன் தெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2343,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2368,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2375,(இ)ள ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2380,"ணொ ய் ஆ = ெொல ஆ,அண்ணல் ல ஆ",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2382,ஆ ொவ்வ அய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2394,ஆ ொவ்வ ஓர்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2420,ஆள் அவ் ஈச ர் = சிவொ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2442,ை அய்யி மு ர்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2444,ண ய் ஆ ண = அண்ணல் ல ஆணய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2459,வய(ளொர்) ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2472,அரச ஆ ொவ்வன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2478,மீ மீ ஏழு ஞொன் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2482,வ ளொர் ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2497,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2503,மீ மீ க ொழி (ஊர்) ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2507,வ இள ை வ்யமூன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2514,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2520,இள எழுட்ை ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2534,ை வய ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2545,மீ மீ இள ச ண,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2596,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2608,இள அரசன ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2614,ொல் ள ண்ன அய்வன ைொ இருளன ன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2617,வ்வை ை வ்ய மூ ர் மூரொ =இவ்விைம் முைகமொர்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2630,மீ மீ வ ண்(ண),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2636,மீ மீ ெ ய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2639,ஓர் ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2648,மீ மீ ெ ய் த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2651,சிவன் (பண்பட்ை வத் ன்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2653,மீ மீ ளொர் ர ய்ய ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2663,மீ மீ ளொர் ர ய்ய ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2689,வரி 1- வ வ வயச ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2689,வரி 2- ச ச ஆர் = ச சயொர்= யொர்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2698,ஆ ொவ்வ ெொன்கு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2699,வனி ஆ மூரொ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2700,இரு ை இனொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2847,வயமளொர் ஆ ொவ்வ மூ அய,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2848,ைொ ய் ஆண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2856,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2862,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2908,ஏழு (இள)ஞொன் அரசன ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2908,ஏழு ஞொன் அரசன ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2913,இரு ள யண்ண ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2950,"ெ(ஆன்கு)ய் = ெய் = தெய் (மு,மூ; ெ,ெொ)",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3016,டி டீ ( ிடீர்)அய் ைொ இள வ்யமூன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3075,ஓர் ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3095,அரச ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3118,ஈசொ இரு ணொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3159,ெொ ய் ண் = ண்ணெய் = தவண்ணய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3246,வய மூ ள ஆ ொவ்வ = மூத் ஆ ொப்கபொன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3249,ம ணொ ள ஆ ணய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3328,வய மூ ட்ை ஆ ஓர் (பசு - ஒருலம),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
3351,மூ ள ய் ஆ (மூ இள ய்மொடு ள்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4022,மீ மீ வன இள ை சொண னி,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4029,வய ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4033,மூ வ ல ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4055,"இரு வ்வன் "" வ்யமூன்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4056,ை ம ைொ ை ன் = வைிய அலமப்பொளன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4084,மூை ஆவ் ஆய் ைொ ய் பசு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4166,ஒர் ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4262,ை ண ை ன ய்யொ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4320,வர ளொர் ய் ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4347,வரி 1- அரச ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4347,வரி 2- இரு அ ?,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4354,ம ைொ ை பண்ணொ ை = பண்ணயர் குழுமம்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4371,ம ைொ ை பண்ணொை ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4430,பண்ணய் ய்யொ ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4582,வரி 1 - ைொ பண்ணொ ஆ ண (ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4582,அ ெொ (மூ?) [scribe error?],VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4590,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
